Date,Open,High,Low,Close,Volume,Momentum,ET,Signal,Position,Momentum_weekly,Momentum_Status
2015-04-27,219.429001,233.304993,218.022995,229.285995,38574000.0,4.698989000000012,1,1,-1.0,9.09098800000001,1
2015-05-06,236.248993,236.453995,229.231003,229.781998,29587200.0,-4.393997000000013,1,-1,1.0,-13.360000000000014,0
2015-05-20,231.889999,234.682999,231.841995,234.018005,15499400.0,4.236007000000001,1,1,-1.0,13.324005,1
2015-05-24,238.975998,241.977997,238.811005,240.953003,11508000.0,0.6569979999999873,1,1,-1.0,13.324005,1
2015-05-27,237.065002,238.636002,236.695007,237.283005,18837000.0,0.9060059999999908,1,1,-1.0,13.324005,1
2015-07-27,292.639008,297.773987,287.450012,293.623993,30592000.0,1.5700069999999755,1,1,-1.0,29.199997000000025,1
2015-09-03,229.324005,229.604996,226.667007,227.182999,17482000.0,-8.167007000000012,1,-1,1.0,-8.632995999999991,0
2015-09-17,229.076004,230.285004,228.925995,229.809998,18935400.0,2.626999000000012,1,1,-1.0,9.64999400000002,1
2015-11-25,320.045013,329.134003,316.769989,328.205994,41666900.0,17.121978999999953,1,1,-1.0,10.065979000000027,1
2016-01-07,430.010986,458.765991,429.076996,458.048004,87562200.0,3.063018999999997,1,1,-1.0,10.065979000000027,1
2016-01-09,453.382996,454.640015,446.889008,447.610992,32278000.0,30.337005000000033,1,1,-1.0,10.065979000000027,1
2016-01-29,380.108002,384.378998,365.451996,379.473999,86125296.0,15.143005000000016,1,1,-1.0,10.065979000000027,1
2016-02-05,388.89801,391.093994,385.571991,386.549011,43825000.0,4.057006999999999,1,1,-1.0,10.065979000000027,1
2016-02-12,379.686005,384.95401,379.600006,384.263,67042800.0,4.789000999999985,1,1,-1.0,10.065979000000027,1
2016-03-19,409.265015,410.984009,407.230011,410.444,58423000.0,9.873993000000041,1,1,-1.0,10.065979000000027,1
2016-03-21,413.417999,413.417999,410.381012,413.307007,61655400.0,-1.0140069999999923,1,-1,1.0,-20.0,0
2016-03-24,418.424011,418.679993,415.485992,416.394012,68346704.0,-0.7370000000000232,1,-1,1.0,-20.0,0
2016-03-29,424.303986,426.203003,412.681,416.515991,75411504.0,-0.31399600000003147,1,-1,1.0,-20.0,0
2016-04-10,419.59201,422.434998,419.256989,421.563995,73478600.0,-5.201020000000028,1,-1,1.0,-20.0,0
2016-05-06,447.941986,461.375,447.067993,459.602997,72796800.0,13.865996999999993,1,1,-1.0,76.25598200000002,1
2016-05-11,450.864014,454.575989,450.864014,452.727997,50605200.0,8.040985000000035,1,1,-1.0,76.25598200000002,1
2016-05-27,453.520996,478.148987,453.520996,473.463989,164780992.0,17.793976000000043,1,1,-1.0,76.25598200000002,1
2016-07-05,683.208984,683.491028,665.065979,670.627014,130476000.0,3.9750360000000455,1,1,-1.0,76.25598200000002,1
2016-07-10,650.598999,652.294006,641.263977,649.359985,102532000.0,19.9929810000001,1,1,-1.0,76.25598200000002,1
2016-07-12,648.28302,675.258972,646.778992,664.551025,138172992.0,17.550047999999947,1,1,-1.0,76.25598200000002,1
2016-07-17,661.992981,682.36499,661.992981,679.458984,74407904.0,20.794983000000002,1,1,-1.0,76.25598200000002,1
2016-07-19,672.737976,673.276978,667.632019,672.864014,61203300.0,2.2369999999999663,1,1,-1.0,76.25598200000002,1
2016-07-21,665.228027,666.218994,660.414978,665.012024,60491800.0,24.450012000000015,1,1,-1.0,76.25598200000002,1
2016-07-23,650.726013,656.366028,648.523987,655.55603,69532200.0,4.596007999999983,1,1,-1.0,76.25598200000002,1
2016-08-16,567.242981,581.737976,566.716003,577.439026,58405200.0,29.97399900000005,1,1,-1.0,76.25598200000002,1
2016-08-19,574.338989,578.237976,574.182007,575.630005,50631600.0,0.5869749999999385,1,1,-1.0,76.25598200000002,1
2016-08-28,569.830017,574.038025,569.73999,573.911987,86301600.0,3.438964999999939,1,1,-1.0,76.25598200000002,1
2016-09-03,575.554993,599.5,574.05603,598.211975,159014000.0,16.514954000000102,1,1,-1.0,76.25598200000002,1
2016-09-20,609.254028,609.525024,607.937988,608.312012,72710896.0,-2.123962000000006,1,-1,1.0,-62.909974000000034,0
2016-11-13,705.195984,705.257019,687.315002,702.031006,80318096.0,0.1669920000000502,1,1,-1.0,40.57904099999996,1
2016-11-16,711.166992,747.61499,709.039001,744.197998,141294000.0,3.3690189999999802,1,1,-1.0,40.57904099999996,1
2017-01-07,903.487,908.585022,823.55603,908.585022,279550016.0,9.763001000000031,1,1,-1.0,40.57904099999996,1
2017-01-21,895.549011,927.367004,895.534973,921.789001,111158000.0,13.203979000000004,1,1,-1.0,40.57904099999996,1
2017-01-25,891.924011,903.252014,891.687012,901.541992,120831000.0,123.78497300000004,1,1,-1.0,40.57904099999996,1
2017-03-11,1116.319946,1193.829956,1116.319946,1175.829956,283320000.0,31.989990000000034,1,1,-1.0,40.57904099999996,1
2017-04-01,1071.709961,1091.719971,1061.089966,1080.5,289633984.0,106.682007,1,1,-1.0,40.57904099999996,1
2017-06-28,2553.030029,2603.97998,2484.419922,2574.790039,1183869952.0,68.41992200000004,1,1,-1.0,40.57904099999996,1
2017-07-20,2269.889893,2900.699951,2269.889893,2817.600098,2249260032.0,209.04003899999998,1,1,-1.0,40.57904099999996,1
2017-08-04,2806.929932,2899.330078,2743.719971,2895.889893,1002120000.0,228.12988300000006,1,1,-1.0,40.57904099999996,1
2017-09-27,3892.939941,4210.049805,3884.820068,4200.669922,1686880000.0,318.0798340000001,1,1,-1.0,40.57904099999996,1
2017-10-29,5754.439941,6255.709961,5724.580078,6153.850098,2859040000.0,475.66015700000025,1,1,-1.0,40.57904099999996,1
2017-11-13,5938.25,6811.189941,5844.290039,6559.490234,6263249920.0,428.96044900000015,1,1,-1.0,40.57904099999996,1
2018-01-05,15477.200195,17705.199219,15202.799805,17429.5,23840899072.0,3597.7001949999994,1,1,-1.0,40.57904099999996,1
2018-01-13,13952.400391,14659.5,13952.400391,14360.200195,12763599872.0,1408.0,1,1,-1.0,40.57904099999996,1
2018-01-15,13767.299805,14445.5,13641.700195,13819.799805,12750799872.0,162.59961000000112,1,1,-1.0,40.57904099999996,1
2018-02-15,9488.320313,10234.799805,9395.580078,10166.400391,9062540288.0,995.8603519999997,1,1,-1.0,40.57904099999996,1
2018-05-08,9380.870117,9462.75,9127.769531,9234.820313,7415869952.0,-462.67968699999983,1,-1,1.0,-1744.5703119999998,0
2018-05-10,9325.959961,9396.040039,9040.519531,9043.94043,6906699776.0,-237.56933599999866,1,-1,1.0,-1744.5703119999998,0
2018-06-10,7499.549805,7499.549805,6709.069824,6786.02002,5804839936.0,-582.2001950000003,1,-1,1.0,-3183.5795900000003,0
2018-07-14,6247.5,6298.189941,6212.220215,6276.120117,2923670016.0,-127.87988299999961,1,-1,1.0,-3183.5795900000003,0
2018-08-04,7438.669922,7497.490234,6984.069824,7032.850098,4268390000.0,-386.43994100000054,1,-1,1.0,-3183.5795900000003,0
2018-08-23,6371.339844,6546.540039,6371.339844,6534.879883,3426180000.0,-33.35009700000046,1,-1,1.0,-3183.5795900000003,0
2018-09-06,6755.140137,6755.140137,6404.720215,6529.169922,5523470000.0,-5.709960999999566,1,-1,1.0,-3183.5795900000003,0
2018-10-08,6600.189941,6675.060059,6576.040039,6652.22998,3979460000.0,56.81982400000015,1,1,-1.0,211.35986299999968,1
2018-10-18,6542.330078,6567.540039,6450.040039,6476.709961,3924080000.0,-99.97998000000007,1,-1,1.0,-482.94970699999976,0
2018-10-25,6484.649902,6504.649902,6447.029785,6476.290039,3230550000.0,220.04980500000056,1,1,-1.0,122.70996099999957,1
2018-10-29,6492.350098,6503.600098,6306.990234,6332.629883,4199910000.0,-263.9101560000008,1,-1,1.0,-932.1000969999996,0
2018-11-08,6522.27002,6536.919922,6438.529785,6453.720215,4665260000.0,-22.569824000000153,1,-1,1.0,-932.1000969999996,0
2018-11-14,6351.240234,6371.549805,5544.089844,5738.350098,7398940000.0,-579.2597649999998,1,-1,1.0,-932.1000969999996,0
2019-01-03,3931.048584,3935.685059,3826.2229,3836.741211,4530215219.0,-297.7001949999999,1,-1,1.0,-932.1000969999996,0
2019-01-07,4078.584961,4092.613525,4020.894043,4025.248291,5228625637.0,-53.350830000000315,1,-1,1.0,-932.1000969999996,0
2019-01-11,3674.015381,3713.881836,3653.069824,3687.365479,5538712865.0,-236.553222,1,-1,1.0,-932.1000969999996,0
2019-01-28,3584.283203,3586.750977,3439.23291,3470.450439,6908930483.0,-235.601807,1,-1,1.0,-932.1000969999996,0
2019-03-04,3845.091553,3867.381836,3733.749756,3761.557129,9029175788.0,-154.15722600000026,1,-1,1.0,-932.1000969999996,0
2019-06-05,7704.343262,7901.849121,7668.668457,7824.231445,21760923463.0,144.16503900000043,1,1,-1.0,410.9946289999998,1
2019-06-07,7826.901367,8126.15332,7788.373535,8043.951172,19141423231.0,56.57959000000028,1,1,-1.0,410.9946289999998,1
